,petnet_image_test_1,petnet_image_train_1,petnet_image_new_test_1,petnet_image_test_2,petnet_image_train_2,petnet_image_new_test_2,petnet_image_test_3,petnet_image_train_3,petnet_image_new_test_3,petnet_image_test_100,petnet_image_train_100,petnet_image_new_test_100,petnet_image_test_200,petnet_image_train_200,petnet_image_new_test_200,petnet_image_test_300,petnet_image_train_300,petnet_image_new_test_300
0,0.24324324324324326,0.25833333333333336,0.2072072072072072,0.2725225225225225,0.3333333333333333,0.15990990990990991,0.2545045045045045,0.3416666666666667,0.16891891891891891,0.24324324324324326,0.25833333333333336,0.2072072072072072,0.25,0.18333333333333332,0.22747747747747749,0.2545045045045045,0.3416666666666667,0.16891891891891891
1,0.30405405405405406,0.35,0.25225225225225223,0.36486486486486486,0.4083333333333333,0.22297297297297297,0.31981981981981983,0.4083333333333333,0.24549549549549549,0.30405405405405406,0.35,0.25225225225225223,0.31981981981981983,0.36666666666666664,0.20495495495495494,0.31981981981981983,0.4083333333333333,0.24549549549549549
2,0.5022522522522522,0.5416666666666666,0.3783783783783784,0.48873873873873874,0.525,0.40315315315315314,0.5202702702702703,0.5,0.3761261261261261,0.5022522522522522,0.5416666666666666,0.3783783783783784,0.5202702702702703,0.5333333333333333,0.4166666666666667,0.5202702702702703,0.5,0.3761261261261261
3,0.4752252252252252,0.48333333333333334,0.3738738738738739,0.48423423423423423,0.5166666666666667,0.3761261261261261,0.46846846846846846,0.4583333333333333,0.3716216216216216,0.4752252252252252,0.48333333333333334,0.3738738738738739,0.47072072072072074,0.5,0.3536036036036036,0.46846846846846846,0.4583333333333333,0.3716216216216216
4,0.42342342342342343,0.4583333333333333,0.3130630630630631,0.42117117117117114,0.5166666666666667,0.30180180180180183,0.42117117117117114,0.5833333333333334,0.34684684684684686,0.42342342342342343,0.4583333333333333,0.3130630630630631,0.44819819819819817,0.5166666666666667,0.2927927927927928,0.42117117117117114,0.5833333333333334,0.34684684684684686
5,0.527027027027027,0.6083333333333333,0.3536036036036036,0.5427927927927928,0.5333333333333333,0.35135135135135137,0.5405405405405406,0.5333333333333333,0.34234234234234234,0.527027027027027,0.6083333333333333,0.3536036036036036,0.5563063063063063,0.6833333333333333,0.39414414414414417,0.5405405405405406,0.5333333333333333,0.34234234234234234
6,0.5608108108108109,0.6333333333333333,0.5202702702702703,0.5495495495495496,0.7,0.48423423423423423,0.536036036036036,0.6166666666666667,0.5315315315315315,0.5608108108108109,0.6333333333333333,0.5202702702702703,0.5608108108108109,0.6833333333333333,0.5495495495495496,0.536036036036036,0.6166666666666667,0.5315315315315315
7,0.6396396396396397,0.6833333333333333,0.4954954954954955,0.6351351351351351,0.6333333333333333,0.46621621621621623,0.5990990990990991,0.6583333333333333,0.5067567567567568,0.6396396396396397,0.6833333333333333,0.4954954954954955,0.5743243243243243,0.6083333333333333,0.46396396396396394,0.5990990990990991,0.6583333333333333,0.5067567567567568
8,0.5382882882882883,0.6166666666666667,0.5157657657657657,0.5427927927927928,0.5583333333333333,0.5135135135135135,0.49324324324324326,0.5833333333333334,0.49324324324324326,0.5382882882882883,0.6166666666666667,0.5157657657657657,0.545045045045045,0.6833333333333333,0.5247747747747747,0.49324324324324326,0.5833333333333334,0.49324324324324326
9,0.6599099099099099,0.7166666666666667,0.5225225225225225,0.6171171171171171,0.7166666666666667,0.5,0.6328828828828829,0.65,0.49099099099099097,0.6599099099099099,0.7166666666666667,0.5225225225225225,0.6373873873873874,0.6583333333333333,0.5247747747747747,0.6328828828828829,0.65,0.49099099099099097
10,0.6531531531531531,0.6916666666666667,0.545045045045045,0.6756756756756757,0.725,0.5675675675675675,0.6936936936936937,0.7416666666666667,0.5630630630630631,0.6531531531531531,0.6916666666666667,0.545045045045045,0.6644144144144144,0.7083333333333334,0.5855855855855856,0.6936936936936937,0.7416666666666667,0.5630630630630631
11,0.6036036036036037,0.6833333333333333,0.48873873873873874,0.5585585585585585,0.7,0.5225225225225225,0.6283783783783784,0.6666666666666666,0.5,0.6036036036036037,0.6833333333333333,0.48873873873873874,0.5855855855855856,0.6416666666666667,0.545045045045045,0.6283783783783784,0.6666666666666666,0.5
12,0.6306306306306306,0.6833333333333333,0.5247747747747747,0.6441441441441441,0.725,0.5495495495495496,0.6509009009009009,0.6833333333333333,0.5630630630630631,0.6306306306306306,0.6833333333333333,0.5247747747747747,0.6554054054054054,0.6833333333333333,0.581081081081081,0.6509009009009009,0.6833333333333333,0.5630630630630631
13,0.6914414414414415,0.75,0.5135135135135135,0.6869369369369369,0.775,0.5608108108108109,0.6531531531531531,0.7833333333333333,0.5382882882882883,0.6914414414414415,0.75,0.5135135135135135,0.6936936936936937,0.75,0.5698198198198198,0.6531531531531531,0.7833333333333333,0.5382882882882883
14,0.5990990990990991,0.7,0.5675675675675675,0.5833333333333334,0.725,0.5202702702702703,0.5698198198198198,0.6916666666666667,0.5540540540540541,0.5990990990990991,0.7,0.5675675675675675,0.5900900900900901,0.7,0.5900900900900901,0.5698198198198198,0.6916666666666667,0.5540540540540541
15,0.6261261261261262,0.75,0.5945945945945946,0.6644144144144144,0.6833333333333333,0.48873873873873874,0.6554054054054054,0.7666666666666667,0.5225225225225225,0.6261261261261262,0.75,0.5945945945945946,0.6193693693693694,0.775,0.5112612612612613,0.6554054054054054,0.7666666666666667,0.5225225225225225
